id,username,discrim,bestrank
25803120814587904,Kesshou,7712,55432
49221949468971008,Slyght,6739,42472
49280198004178944,Forerunner,8907,20156
50367886635565056,Eris,9127,18855
50563292820668416,"xͥaxaͣsͫ",4912,49135
51874283110010880,"𝐿𝒾𝓉𝓉𝓁𝑒 𝒮𝓌𝒶𝓃",0304,54003
54387260962897920,Truent,0777,51362
54469478779453440,Kadderline,1592,26040
54992215855857664,Ashekandi,0001,10402
55030934914727936,Dethmoose,6969,16748
55650135861891072,Mint,5942,32243
56848491124629504,"Zim the Vixen",1312,50410
57284279234727936,"🅗🅐🅣🅔🅡🅚",6714,54836
59327220459511808,Vivica,6901,47568
61663123462946816,Empi,8791,18592
62553753886130176,WillowsRain,7035,48318
63013497658675200,Aikalie,0528,8482
63960764653772800,"아러망",6974,53685
64138613721411584,Routy,8008,2415
65226686689452032,JCP,8056,24843
65454256693448704,HODI,2451,22697
66213411431653376,"roki ツ",8339,55538
67416671647703040,phaze,8000,36761
67630585803182080,Yukari,4780,49720
68163186343288832,Yamorino,0001,53706
68633244127469568,"IU BB",2386,24151
69176783169130496,Katten,3512,26549
70403447232397312,Ecstasy,1111,18043
70623793277575168,"Żømbie.Berliøz",1113,51005
71290956745281536,North,5231,34948
71307588989358080,Mono,1000,33168
72182455544586240,"A Momentary Life",9719,7806
72662767953252352,"ඞFennekinඞ",6311,51704
72814070515896320,Axilla,8542,12074
73397161814917120,Kaedrick,5426,26063
73673267809878016,"Darkakus | OogaVerse",3550,16093
73726048201605120,Hecky109,4526,22648
73758250830405632,ozv,5243,36069
73824102594383872,Tortin,6821,45996
73947560951152640,Durandal,1717,17806
74229639844732928,"Shαllow",2841,44308
74646523329122304,Lynch,5081,32933
75041743904448512,Profin,0007,37487
76763356647661568,"𝒉𝒂𝒏𝒊𝒕𝒐𝒓𝒊 ❄",0101,54100
77236127483822080,Moonphos,5034,32867
77256789363531776,Chaxle,8246,13996
77394784259420160,Rina,2611,41996
78391395915661312,lexi,8405,28991
78686623096639488,TiddyMeister,9381,45562
78883337296424960,buttcheeks,0013,3358
79070004019994624,nabn,0006,33618
79250572292661248,Gooney,0008,21383
79468368490409984,forwardsho,3248,20182
79762943868149760,1_damage,8123,7188
80053467246231552,Joey_Zombiepirate,5132,27298
80147546323816448,CharlesHenryVIII,5293,13959
80533694128857088,FUREX,5171,20505
80654223502487552,Estroy,9184,18962
80830200744517632,VirtualBytes,1001,47518
80858888743682048,Blue,0988,12370
80892297905963008,Aki,1138,8653
80919508411224064,Yen,0001,49395
81063057349939200,Locard,2195,29508
81078516870819840,Aero,5281,8308
81130499719835648,TNC,7905,45733
81231616772411392,Linh,6969,4238
81896711403876352,yur,6774,49824
81942063687405568,"ֆɛﾑռ",7869,51579
82163662629896192,Whoops,0001,48204
82198898843586560,night,1337,37523
82239215533830144,Hutchy,9959,23018
82746948871786496,Troz,0001,46244
82766072121397248,Pl4smic,3294,37013
82782798498234368,Granberg,8888,55372
82880462506168320,Kasper,0025,26452
82915870505963520,Aelos,5790,8953
82930652860649472,Stoffe,8509,43672
82959393976483840,jared,1001,24653
82986621133131776,xenpy,1603,48825
82987869240561664,colin,4444,14854
83036434327408640,BlueCrystal,1985,12388
83051589119512576,Chris,5608,14353
83175355979923456,nakana,7663,34090
83333110829154304,"META btw",8499,33762
83338497674448896,chistle,5791,14251
83451758780612608,PicardsFlute,0001,36831
83738196059361280,Mags,1683,30531
83800133971476480,Kyle,0666,28191
83904782623866880,"Ʀʊʂիǥąɾɾσɫի",2887,51053
84003614162456576,rusbosslobster,7773,39720
84017354291314688,Mariek,6385,30895
84397838083031040,defect,0001,16485
84414420012249088,Tavi,2065,46557
84438130073014272,"El Alex",0001,18227
84440962402631680,"The Dank Lord",1275,45075
84666384495161344,Bhai,9999,11905
85079837252788224,Daxton,2280,16303
85094869885792256,Cam,0007,13431
85228897246908416,Lelouch745,0237,28795
85591779365113856,Torrunt,0001,45991
85904788478251008,Sheepsticked,9070,41385
86195011904872448,"Angel’",3000,9604
86745836574236672,BG,0007,11899
86863338352447488,Digi,5150,1537
87062162391977984,haya,0006,22238
87269698491650048,Deideichan,0265,16507
87366439723352064,WhoAteMyEggo,0001,48197
87400566489108480,Asmo,8693,4623
87662696777936896,Hex4gon,0626,23141
87921027958439936,AngeLlama,0493,9598
87923960196386816,OmegamanX,7458,38361
87953590294970368,Akoni,0408,8851
88002236222799872,Sheeto,0110,45080
88043086420131840,"ali ✰",0694,9713
88096334652936192,cartoonraccoon,2001,13630
88420905574744064,ranka,9394,38252
88635325710073856,Myst,6466,33462
88768871841951744,"cheap breadstick",9401,15478
88885176322498560,"네넣",5841,53601
88949059548614656,"호꾸삼촌",8516,53781
88956267220983808,nanoCAT,3817,34742
89013917388382208,Plum,8313,37083
89277974871801856,Juke,8008,25696
89558821093011456,Archon378,3789,11175
89602484607152128,SemiSeriousSam,7805,40946
89979098868228096,Grimluv,0001,21585
90158943568953344,Wealth,2147,48026
90236252527296512,"Minnie⁷",3012,32235
90377175223533568,Hez,1462,22520
90464928292425728,Saar,6969,39998
90549529627103232,immenson,6969,23601
90549595246968832,QuilicFlicks,1400,41230
90628521805762560,xBoo,9061,5873
90640480362045440,Corvo,6660,126
90652287906635776,Leslie,1234,28914
90865917956722688,Lou,0591,29730
90906481280438272,aglahir,1217,8390
90931545665212416,kipper,6920,27291
90932525374926848,Khansui,5764,27008
90949799062310912,Sachi,2301,40023
91008904950992896,"ゾーイ・スミス",6969,53014
91034697479507968,Aedan,3206,8280
91279023547625472,Suppressional,7907,4386
91332266881470464,Sushi,6931,44070
91754811355037696,"燐舞曲",0001,53366
91761200014069760,Neveruary,1738,34242
92084396475039744,"Captain Giants",0001,14355
92091612485677056,Ryan,4586,39788
92154384909111296,"Tiago | Papple",0710,47429
92234304075079680,zasbu,4444,5462
92468381923409920,"Benny Blanko",0757,11788
92504881746673664,TwistedZB,0001,2718
92662297943633920,pineapples,1596,36905
92689775223394304,jmxd,9366,25268
92699490468765696,Pugs,7462,37599
92699695637360640,"yung bean",5056,49795
92799876915556352,Cysan,0777,15607
92895278486523904,DrTaru,1266,17681
92935048671539200,Dream-Catcher,5489,17578
92962341225771008,Miah,9065,31833
92971401648046080,Hewascool,1348,22808
92995704590442496,Derfava,8008,16675
92996081016651776,bl0m1,1337,12136
93086824796282880,BackpackSamurai,4693,11211
93148257051508736,"T I M E B O N E S",4586,44411
93190991258857472,Vee,8769,47161
93262595909242880,olly,8888,35646
93452024032526336,DarkBlueCow,8252,16327
93507917218578432,nel,0404,36208
93512848017195008,Dalamar,7201,15838
93621885224357888,Myra,0001,33459
94178675334840320,CriticaI,0001,15722
94183560059031552,Dranzin,0001,17555
94216031043596288,Keiko,2591,27886
94455469120180224,Judist,0001,27330
94508586423562240,kx,0762,28148
94592320724279296,Ajmal,4056,1269
94600311863250944,Kry,1337,27914
94623797902049280,Vyz-,3069,47789
94641053583286272,natekebab,8580,33882
