id,username,discrim,bestrank
60954807824822272,kap,0059,16745
66088117492260864,G4TN,0007,11914
66290890741657600,Blazer,2384,4482
68071109307666432,"David S11",4639,8026
70895867661393920,moonbound,2222,21744
70943303197011968,Nathan,8302,22618
74805739457097728,iThinkDifferent,9456,14670
79217054661476352,Lurkki,7394,19573
79298169753575424,ethai1384,8306,10386
81527891380142080,Arkozo,4801,2845
81861976199798784,serubi,3789,2
82248810578837504,Gen,5596,12228
82258775095906304,Psywave,0001,25760
83226978706001920,samvosg,6890,27826
83283213010599936,snapcase,0001,29519
83529270999126016,MacKean,4927,19815
83617593188945920,ssgoku129,7523,30245
83935295099142144,Seikann,7610,28285
84013468906164224,fi,6586,11003
84314576136450048,McDiddles,7530,20816
85105196031541248,ARod,5430,2868
85915739252342784,Kercheiff,7391,17072
86231572541345792,Superstar,4159,30718
86261067482697728,Akaigetsu,0610,1919
86400149890297856,Stoney,0001,30474
88109760729088000,Boostergold187,2103,4828
88433948027281408,Petar,1957,24910
89933696882208768,"Lyra Heartstrings",2813,19660
90051876103413760,StuartGT,8596,30567
90315984761536512,"Kitty Cat",0102,17409
90606798519693312,Artsy,2508,2928
90644697806016512,Shift,6310,28667
90766263982235648,ahri,1078,1806
90908725098860544,Dozeec,0001,9065
90932977105637376,Krittikal,5724,17797
90977757210615808,paint,0003,24416
90988112020279296,dand,4822,7710
91017200139239424,"𝙚𝙊 Eagle ツ",0420,37645
91256377351094272,"Scooby Smacks",0001,28114
91331598309425152,Scoop,0473,28116
91337056302661632,Nick,1846,22929
91715286226460672,masoe,0352,20379
92046857198399488,AkioUK,5294,1948
92469090249089024,Jinai,0001,15592
92709889872257024,Zieba,9958,35857
92713725068345344,"- Suprey -",7608,671
92719982718242816,Ozaru,5879,24291
93133660194111488,"3ashry el Don",1617,993
93426566490497024,Omair,2956,23975
93730226055434240,Fidalgo,4463,11012
93932829934624768,Geeff,3284,12210
95217003266052096,Jamie,8375,15116
95282092270690304,Gearico,0569,12200
95314529189113856,Apst,8432,2713
95495681933840384,Sandels,6585,27839
95536117327077376,Alexmal,6621,2145
95915039067738112,ERiC,6369,10275
96252318890086400,XYA,7280,34988
96296565076918272,Mylis,0783,22317
96347703142813696,Kulgan,0981,17898
96406344621395968,Royal,0637,27277
96609399002365952,Fibergu,0514,11006
96766348591374336,sim,7806,28945
97499216405872640,Xslice55555,5555,34911
97551971640160256,Dave,1349,8004
97574491248394240,"Hoopy Frood [Towel]",9326,13734
97700957361565696,Alon,7114,2238
97845830165200896,Dinnerbone,8620,8652
98197603572801536,"Pieman 🚂",4558,25077
98468259208126464,PakaZ,7859,24421
98468743855747072,"s̶ ̶a̶ ̶d̶.",6755,31004
98498702867456000,Donte,4379,8956
98633022928068608,stereo,4263,30413
98816334850166784,Munch,7911,22198
99202669175926784,StanimalHD,4185,30286
99592007478972416,Melon,4093,20951
99815396705595392,Nicksizim54,5454,22963
99915004047806464,Y.K.,0001,35015
99924062658129920,Middy,3090,21171
99969994074378240,AntManSC,0813,2618
100092778188386304,"Lord Hoseph Dong",9634,19139
100417253694013440,Richhomiecreg,6548,26854
101066330282659840,Dex,3914,8472
101423441357328384,NathanRL,6147,22633
101459332645810176,Enforcer,3287,10165
101730676625141760,"- TuGs ✘",8089,672
101771661803544576,Screwage,7347,28153
102135617059590144,Peej,6087,24785
102139070502678528,Pupix,1234,25826
102161397466550272,Akkronym,5164,1955
102228051785441280,Jesper,1337,15460
102433609998147584,CloudFuel,0001,223
102519977638109184,"Ufólogo",0896,33059
102665966005014528,Hax0r,2664,13329
102880691305316352,Larimar,1385,18249
103275039108890624,TomGeeKay,4120,32304
103317220423127040,Zach,8000,35509
103532873365098496,khumex,8235,17170
103778560128327680,"RHL | DankeyKyle",4945,226
104054990963744768,JohnE,5847,15790
104224519899598848,Feel,3478,10890
104237184306929664,t1mmy2taps,9492,31045
104353064776904704,green,5576,12761
104673058798710784,Yolex,5704,35251
104745722238283776,Ice-9,8194,14115
104945322073051136,luuuukas02,7605,19598
104995205458980864,BlaiNz,3500,4446
105035884818100224,Sumanai,9206,30643
105045328738164736,"Solumath 夜ト",0003,29728
105092849397145600,thefirstassbender,1295,31662
105102070222192640,Nickk,6921,22952
105216620242202624,Kasax,4613,16830
105318608674004992,"❄Xmas ♕Baga$o♕❄",6411,36873
105686618727292928,Ignis,7859,14227
105787870299570176,n0oken,1048,22432
105805939440926720,PillowPants,4128,25120
105847507174629376,CallMeLucas,2401,5652
106068236000329728,Ocean,7531,23767
106100681689038848,-|TG|-Fano23,0641,721
106122638677524480,Prophetic,7614,25697
106152171875098624,MjSwartz,3810,21529
106158488178163712,Klobberz,1999,17475
106363887447719936,"Willy Wonka",9504,34407
106551093600743424,boi,2239,4737
106757484001124352,PridedMAXX,2340,25634
106810309473206272,draza,7408,9172
106847671825801216,Vrapt0r,1337,33917
107111622232797184,G4c,1076,11911
107234435971182592,Mister_Bacon,3520,21468
107250467641237504,Lego,0469,18459
107265428035780608,Arexys,1780,2813
107341492749680640,Ragefast,3548,26209
107872416432144384,bloom,0599,4572
108214552386150400,"Tom 'Welshyy' McCarthy",8504,32266
108240329097891840,Guthixian,5120,13006
108296642406395904,Avocad0,8310,3246
108636226843578368,silent,7923,28898
108639907932573696,Majorr,1902,19972
108670531678507008,Evan,2372,10442
108976639093772288,Igrasie,7081,14243
109023804587524096,Burno,9965,5401
109311156191002624,Juliuz,6952,16283
109699901264252928,Lucxsxde,0491,19408
109757689520799744,Zerross,7204,35800
109777414938226688,Gerald,9274,12273
110015200547049472,Happy,9742,13222
110135919817809920,mAXeLL-,0583,20688
110251432262795264,Sunny,7338,30660
110276776638287872,keith,1607,16992
110302520353505280,hitboxr,0687,13613
110310370010243072,Qweets,2805,26066
110437001030836224,Cryan21,5176,7278
110888305184284672,Alaska,1638,1996
110929206921166848,DiDi,6667,8547
111011863701000192,"Ashen One, Bring me souls",8102,2988
111206306899120128,Lexion,9346,18658
111270483348975616,"Grand Kane",5314,12721
111373865090842624,FoxyDude,7694,11479
111494148288208896,bobyJOW,5926,4713
111548336997220352,Diogo,7261,8666
111611133235884032,nBomb,8008,22673
111616588943208448,Focused,0739,11394
111861026013642752,Sales,9779,27717
111879739601354752,slaazh,0125,29261
111888345482752000,Senshuten,1547,28352
111925445036969984,Docta_Scarecrow,6954,8833
111932955206672384,hurg_burg,2973,13895
111941074586521600,jrood1,9405,16126
111966818150723584,Sykelone,0535,30902
112010203934760960,grey,4739,12786
112110732753051648,kerry,0227,17089
112242925479395328,hrrs01,0001,13810
112323484381691904,CRB,3015,7137
112363116632748032,Nico,9514,22970
112416673046237184,ducky,0384,9349
112558303476736000,FENRIR,0382,10951
112562218385584128,Inferno.0b,7410,14473
112594509489000448,"รeмԾイÂ",7054,36535
112665981502918656,Ethelien,3620,10411
112953817791746048,Zsouth34,9455,36025
112961275218178048,D4NT3,5927,7531
113047742669922304,Strennen,2590,30541
113086590976282624,Mikex,0175,21260
113404487523172352,Parzival,1467,24586
113420328494997504,MrRed,7255,22072
113663439502573568,pecks,1234,24739
113974154348199939,"Chex Mix",8130,6197
114448852097957889,Underskore,0896,33151
114533443689250824,spenga,1023,29985
114566146186805251,CalculatedCoffee,7527,5624
114581096376696833,Sexecutioner,6813,28422
114957385642016775,Kass,6669,16841
115184806018416643,sobeXmaster,1105,29651
115335163625472008,"Faust Lord",3501,10823
115444962627158022,Yo_Nay_Buh,8883,35221
115547732835303425,Lamas,1978,18197
116039334800392198,Proto,2090,25706
116244897895415813,Yliolli,4085,35204
116316416659030017,Teto,0813,31427
116715311629074438,madden0263,1568,19834
116783409677729795,"TJ4 (Byurr)",7916,32124
116930349514227712,GoogleMeister,6502,12642
116964734988845057,BossPlayerOG,8952,4882
116982877421436930,Zelectrus,6942,35715
117057686234857474,Enjokala,3590,10174
117287292023865346,Yoyoeat,6630,35357
117314602647289856,SajuukX,8152,197
117355378467012612,duu,8844,9444
117360058634993669,Mangaku,0913,20050
117428725661827075,Frankie,6705,11537
117431312767254533,"A Scruffy Falcon",2458,1304
117433032998256641,Narga,1272,22565
117588010425516036,Yani,8255,35065
117635172215685123,"Ozaks hubby <3",9784,24289
117652667530084353,WyldFyr56,6807,34641
117656991987531777,Jirka,0137,15608
117682796566282245,Vortex,8075,33886
117789813427535878,PixeL,1337,25220
118082116394156034,Korzaski,7517,17658
118131203000893447,.delay,8459,759
118191838925422597,D0nutcrazy,1010,7504
118223013001953281,myst,8346,22329
118303558725533698,welleck,1806,34207
118422652179185665,"𝖉𝖔𝖔𝖒",6830,37560
118447452801073156,WaddleWalk,4860,34004
118536323685548034,Rexus5,7689,26767
118833295357247488,Roloo1,1498,27174
119152598950477829,HarK,7016,13249
119522071398055938,sjmpson,9251,29102
119522259579830274,Sanyu_,9814,27899
119528276510244865,Wolfmaster,8457,34527
119687626071474176,big16HD,4865,4229
119948815225716741,MattRocket,9137,20600
120070698420011008,"EXG | Ch3MStorm",8430,10523
120153237721579523,N1kods,1960,22447
120353408010944515,felpy,7695,10938
120401485530923009,Matt,9712,20544
